bag_id,instance_id,bag_label,cell_type,driver_true,attention,attention_rank_in_bag,n_instances_in_bag,n_top_instances_in_bag,top_attention
bag_000,bag_000_instance_002,1,B,1,0.04733304,1,40,4,true
bag_000,bag_000_instance_018,1,B,1,0.046847835,2,40,4,true
bag_000,bag_000_instance_016,1,myeloid,1,0.038975984,3,40,4,true
bag_000,bag_000_instance_011,1,T,1,0.033816304,4,40,4,true
bag_001,bag_001_instance_016,0,B,0,0.03621159,1,40,4,true
bag_001,bag_001_instance_006,0,B,0,0.03344993,2,40,4,true
bag_001,bag_001_instance_029,0,myeloid,0,0.02999695,3,40,4,true
bag_001,bag_001_instance_017,0,B,0,0.02986706,4,40,4,true
bag_002,bag_002_instance_010,1,B,1,0.044665255,1,40,4,true
bag_002,bag_002_instance_037,1,T,1,0.043111973,2,40,4,true
bag_002,bag_002_instance_020,1,myeloid,1,0.039820332,3,40,4,true
bag_002,bag_002_instance_014,1,myeloid,1,0.03800653,4,40,4,true
bag_003,bag_003_instance_023,1,B,1,0.05632417,1,40,4,true
bag_003,bag_003_instance_011,1,B,1,0.044071246,2,40,4,true
bag_003,bag_003_instance_025,1,T,1,0.040872492,3,40,4,true
bag_003,bag_003_instance_018,1,T,1,0.037706584,4,40,4,true
bag_004,bag_004_instance_006,0,T,0,0.03412316,1,40,4,true
bag_004,bag_004_instance_025,0,B,0,0.032380663,2,40,4,true
bag_004,bag_004_instance_014,0,B,0,0.030400878,3,40,4,true
bag_004,bag_004_instance_008,0,T,0,0.029316293,4,40,4,true
bag_005,bag_005_instance_021,0,T,0,0.029753624,1,40,4,true
bag_005,bag_005_instance_009,0,T,0,0.028412966,2,40,4,true
bag_005,bag_005_instance_033,0,myeloid,0,0.02802883,3,40,4,true
bag_005,bag_005_instance_028,0,T,0,0.027993828,4,40,4,true
bag_006,bag_006_instance_032,1,B,1,0.049803518,1,40,4,true
bag_006,bag_006_instance_039,1,B,1,0.040777765,2,40,4,true
bag_006,bag_006_instance_014,1,myeloid,1,0.03923967,3,40,4,true
bag_006,bag_006_instance_025,1,myeloid,1,0.035930973,4,40,4,true
bag_007,bag_007_instance_036,0,T,0,0.031987987,1,40,4,true
bag_007,bag_007_instance_024,0,T,0,0.030705268,2,40,4,true
bag_007,bag_007_instance_022,0,B,0,0.03031083,3,40,4,true
bag_007,bag_007_instance_034,0,B,0,0.03010834,4,40,4,true
bag_008,bag_008_instance_006,0,B,0,0.036885224,1,40,4,true
bag_008,bag_008_instance_035,0,B,0,0.02989912,2,40,4,true
bag_008,bag_008_instance_002,0,myeloid,0,0.029648697,3,40,4,true
bag_008,bag_008_instance_033,0,myeloid,0,0.02890971,4,40,4,true
bag_009,bag_009_instance_019,1,T,1,0.049452327,1,40,4,true
bag_009,bag_009_instance_012,1,T,1,0.04557325,2,40,4,true
bag_009,bag_009_instance_023,1,myeloid,1,0.03951893,3,40,4,true
bag_009,bag_009_instance_015,1,T,1,0.036682926,4,40,4,true
bag_010,bag_010_instance_029,1,B,1,0.041080583,1,40,4,true
bag_010,bag_010_instance_004,1,myeloid,1,0.03933313,2,40,4,true
bag_010,bag_010_instance_001,1,myeloid,1,0.038193423,3,40,4,true
bag_010,bag_010_instance_018,1,myeloid,1,0.037596513,4,40,4,true
bag_011,bag_011_instance_002,0,T,0,0.03588196,1,40,4,true
bag_011,bag_011_instance_010,0,B,0,0.02975794,2,40,4,true
bag_011,bag_011_instance_028,0,T,0,0.02953693,3,40,4,true
bag_011,bag_011_instance_031,0,B,0,0.029377734,4,40,4,true
bag_012,bag_012_instance_027,1,B,1,0.044786386,1,40,4,true
bag_012,bag_012_instance_031,1,T,1,0.038073994,2,40,4,true
bag_012,bag_012_instance_006,1,myeloid,1,0.031863585,3,40,4,true
bag_012,bag_012_instance_016,1,T,1,0.031310573,4,40,4,true
bag_013,bag_013_instance_009,1,B,1,0.042710315,1,40,4,true
bag_013,bag_013_instance_001,1,B,1,0.04110637,2,40,4,true
bag_013,bag_013_instance_026,1,T,1,0.038827676,3,40,4,true
bag_013,bag_013_instance_037,1,myeloid,1,0.03543043,4,40,4,true
bag_014,bag_014_instance_035,0,B,0,0.031541392,1,40,4,true
bag_014,bag_014_instance_005,0,B,0,0.030124683,2,40,4,true
bag_014,bag_014_instance_021,0,B,0,0.028798716,3,40,4,true
bag_014,bag_014_instance_004,0,B,0,0.028639777,4,40,4,true
bag_015,bag_015_instance_027,0,T,0,0.031540174,1,40,4,true
bag_015,bag_015_instance_006,0,myeloid,0,0.030700345,2,40,4,true
bag_015,bag_015_instance_004,0,B,0,0.029378625,3,40,4,true
bag_015,bag_015_instance_001,0,B,0,0.028594632,4,40,4,true
bag_016,bag_016_instance_004,0,myeloid,0,0.030191196,1,40,4,true
bag_016,bag_016_instance_020,0,B,0,0.029963532,2,40,4,true
bag_016,bag_016_instance_039,0,B,0,0.02957939,3,40,4,true
bag_016,bag_016_instance_024,0,T,0,0.029312007,4,40,4,true
bag_017,bag_017_instance_006,1,B,1,0.043122217,1,40,4,true
bag_017,bag_017_instance_028,1,B,1,0.043118346,2,40,4,true
bag_017,bag_017_instance_003,1,T,1,0.04092345,3,40,4,true
bag_017,bag_017_instance_022,1,myeloid,1,0.036322027,4,40,4,true
bag_018,bag_018_instance_029,1,B,1,0.040897753,1,40,4,true
bag_018,bag_018_instance_007,1,B,1,0.040669058,2,40,4,true
bag_018,bag_018_instance_011,1,B,1,0.040237747,3,40,4,true
bag_018,bag_018_instance_001,1,B,1,0.034729943,4,40,4,true
bag_019,bag_019_instance_003,0,T,0,0.032672066,1,40,4,true
bag_019,bag_019_instance_036,0,T,0,0.0315053,2,40,4,true
bag_019,bag_019_instance_039,0,B,0,0.03073287,3,40,4,true
bag_019,bag_019_instance_022,0,T,0,0.029239127,4,40,4,true
